"station_code","ProgramType","adjustedtimestamp","UncCHLa_N","PHEA","TSS","color","ENTERO_MPN","FECCOL_CFU"
"gtmfmnut1.1","Grab",2024-06-04 07:22:00,2024-06-17,2024-06-17,2024-06-07,2024-06-05,2024-06-06,2024-06-06
"gtmfmnut1.2","Grab",2024-06-04 07:25:00,2024-06-17,2024-06-17,2024-06-07,2024-06-05,2024-06-06,2024-06-06
"gtmpcnut1.1","Grab",2024-06-04 10:27:00,2024-06-17,2024-06-17,2024-06-07,2024-06-05,2024-06-06,2024-06-06
"gtmpcnut1.2","Grab",2024-06-04 10:31:00,2024-06-17,2024-06-17,2024-06-07,2024-06-05,2024-06-06,2024-06-06
"gtmpinut1.1","Grab",2024-06-04 09:40:00,2024-06-17,2024-06-17,2024-06-07,2024-06-05,2024-06-06,2024-06-06
"gtmpinut1.2","Grab",2024-06-04 09:42:00,2024-06-17,2024-06-17,2024-06-07,2024-06-05,2024-06-06,2024-06-06
"gtmssnut1.2","Grab",2024-06-04 08:19:00,2024-06-17,2024-06-17,2024-06-07,2024-06-05,2024-06-06,2024-06-06
"gtmssnut1.1","Grab",2024-06-04 08:17:00,2024-06-17,2024-06-17,2024-06-07,2024-06-05,2024-06-06,2024-06-06
"gtmpcnut2.1","Diel",2024-06-17 08:30:00,2024-07-02,2024-07-02,2024-06-21,NA,NA,NA
"gtmpcnut2.10","Diel",2024-06-18 07:00:00,2024-07-03,2024-07-03,2024-06-21,NA,2024-06-20,NA
"gtmpcnut2.11","Diel",2024-06-18 09:30:00,2024-07-03,2024-07-03,2024-06-21,NA,2024-06-20,NA
"gtmpcnut2.2","Diel",2024-06-17 11:00:00,2024-07-02,2024-07-02,2024-06-21,NA,NA,NA
"gtmpcnut2.3","Diel",2024-06-17 13:30:00,2024-07-03,2024-07-03,2024-06-21,NA,2024-06-20,NA
"gtmpcnut2.4","Diel",2024-06-17 16:00:00,2024-07-02,2024-07-02,2024-06-21,NA,2024-06-20,NA
"gtmpcnut2.5","Diel",2024-06-17 18:30:00,2024-07-02,2024-07-02,2024-06-21,NA,2024-06-20,NA
"gtmpcnut2.6","Diel",2024-06-17 21:00:00,2024-07-02,2024-07-02,2024-06-21,NA,2024-06-20,NA
"gtmpcnut2.7","Diel",2024-06-17 23:30:00,2024-07-02,2024-07-02,2024-06-21,NA,2024-06-20,NA
"gtmpcnut2.8","Diel",2024-06-18 02:00:00,2024-07-02,2024-07-02,2024-06-21,NA,2024-06-20,NA
"gtmpcnut2.9","Diel",2024-06-18 04:30:00,2024-07-02,2024-07-02,2024-06-21,NA,2024-06-20,NA
